0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.40824,0.0533,0,0.052515,0.096337,0.045001,0.041635,0.036122,0.030405,0,0,0.030405,0.036122,0.03557,0.032101,0,0,0,0,0,0.032101,0.03557,0.038974,0.041904,0.041351,0.038052,0.034921,0.031944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.40824,0.058328,0.031301,0.057584,0.09634,0.045002,0.041635,0.036122,0.030405,0,0,0.030405,0.036122,0.03557,0.032101,0,0,0,0,0,0.032101,0.03557,0.038974,0.041904,0.041351,0.038052,0.034921,0.031944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.40824,0.064053,0.033303,0.063356,0.096347,0.045003,0.041635,0.036122,0.030405,0,0,0.030405,0.036122,0.03557,0.032101,0,0,0,0,0,0.032101,0.03557,0.038974,0.041904,0.041351,0.038052,0.034921,0.031944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.40825,0.071044,0.036192,0.070404,0.096359,0.045003,0.041635,0.036122,0.030405,0,0,0.030405,0.036122,0.03557,0.032101,0,0,0,0,0,0.032101,0.03557,0.038974,0.041904,0.041351,0.038052,0.034921,0.031944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.40825,0.078813,0.040237,0.078238,0.096385,0.045005,0.041636,0.036122,0.030405,0,0,0.030405,0.036122,0.03557,0.032101,0,0,0,0,0,0.032101,0.03557,0.038974,0.041904,0.041351,0.038052,0.034921,0.031944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.40826,0.086659,0.045496,0.086149,0.096435,0.045007,0.041636,0.036122,0.030405,0,0,0.030405,0.036122,0.03557,0.032101,0,0,0,0,0,0.032101,0.03557,0.038974,0.041904,0.041351,0.038052,0.034921,0.031944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.40828,0.094843,0.052658,0.094399,0.096533,0.045012,0.041637,0.036123,0.030405,0,0,0.030405,0.036123,0.03557,0.032102,0,0,0,0,0,0.032101,0.03557,0.038974,0.041904,0.041351,0.038052,0.034921,0.031944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.50001,0.40832,0.1023,0.062057,0.10192,0.096721,0.045021,0.041639,0.036123,0.030964,0.030964,0.030964,0.030964,0.036123,0.035571,0.032102,0.030964,0.030964,0.030964,0.030963,0.030963,0.032101,0.03557,0.038974,0.041904,0.041351,0.038052,0.034921,0.031944,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963,0.030963
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.50002,0.4084,0.10925,0.074689,0.10892,0.097065,0.045037,0.041642,0.036124,0.032781,0.032781,0.032781,0.032781,0.036124,0.035572,0.032781,0.032781,0.032781,0.032781,0.03278,0.03278,0.03278,0.03557,0.038974,0.041904,0.041351,0.038052,0.034921,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278,0.03278
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.50001,0.50004,0.40853,0.1158,0.090146,0.11551,0.0977,0.045067,0.041647,0.036126,0.034924,0.034924,0.034924,0.034924,0.036126,0.035573,0.034924,0.034924,0.034924,0.034924,0.034921,0.034921,0.034921,0.03557,0.038974,0.041904,0.041351,0.038052,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921,0.034921
